Date,Avg_Temperature,Min_Temperature,Max_Temperature
200001,32.5,23.0,42.0
200002,38.7,28.1,49.3
200003,48.4,36.7,60.0
200004,52.7,42.4,63.0
200005,64.9,53.7,76.1
200006,72.4,62.4,82.4
200007,72.0,62.5,81.6
200008,72.6,63.4,81.7
200009,65.7,55.7,75.7
200010,57.2,45.1,69.4
200011,43.3,33.3,53.3
200012,29.2,20.5,37.9
200101,32.2,23.7,40.7
200102,38.0,28.1,48.0
200103,40.4,30.9,50.0
200104,54.5,42.6,66.4
200105,62.6,51.3,74.0
200106,72.4,62.0,82.8
200107,72.3,61.6,83.0
200108,76.0,66.2,85.8
200109,65.6,54.4,76.7
200110,56.5,43.8,69.2
200111,50.8,38.5,63.1
200112,42.6,33.1,52.2
200201,39.0,29.7,48.4
200202,39.8,28.2,51.5
200203,45.4,34.5,56.2
200204,56.6,44.8,68.3
200205,62.0,50.1,74.0
200206,73.0,61.6,84.3
200207,77.6,66.6,88.6
200208,77.2,66.1,88.3
200209,69.4,58.5,80.3
200210,56.3,48.0,64.6
200211,44.7,35.9,53.5
200212,34.3,25.8,42.9
200301,28.6,21.0,36.2
200302,31.0,23.2,38.8
200303,44.4,33.2,55.5
200304,52.6,41.7,63.6
200305,59.7,51.1,68.4
200306,69.5,60.2,78.8
200307,75.5,66.2,84.8
200308,76.1,67.1,85.1
200309,67.8,58.9,76.6
200310,54.7,43.7,65.6
200311,50.6,40.4,60.9
200312,36.5,28.1,45.0
200401,28.1,19.9,36.3
200402,34.5,24.8,44.2
200403,45.6,35.4,55.9
200404,54.3,44.3,64.4
200405,69.3,58.8,79.8
200406,70.8,60.9,80.6
200407,75.5,66.4,84.5
200408,73.5,64.2,82.7
200409,68.7,59.3,78.1
200410,55.7,46.3,65.0
200411,48.3,38.8,57.8
200412,37.7,28.2,47.1
200501,33.9,25.6,42.3
200502,36.5,26.9,46.1
200503,39.7,30.7,48.7
200504,54.7,42.8,66.6
200505,58.7,47.5,70.0
200506,72.8,62.5,83.2
200507,77.6,68.1,87.1
200508,77.0,67.4,86.6
200509,71.1,59.1,83.0
200510,57.8,49.0,66.7
200511,48.5,37.2,59.8
200512,33.7,25.4,42.1
200601,41.1,31.7,50.4
200602,36.1,26.6,45.6
200603,44.3,33.5,55.2
200604,56.3,44.0,68.7
200605,62.1,50.2,74.0
200606,71.6,61.4,81.7
200607,77.6,67.8,87.4
200608,76.9,66.3,87.5
200609,65.3,56.3,74.3
200610,55.0,44.7,65.3
200611,49.1,40.0,58.2
200612,42.8,32.3,53.2
200701,38.5,29.7,47.2
200702,28.3,19.8,36.8
200703,44.9,33.1,56.6
200704,51.1,40.7,61.4
200705,64.6,52.1,77.0
200706,72.6,61.6,83.5
200707,75.4,64.3,86.5
200708,76.3,66.0,86.7
200709,69.6,57.7,81.5
200710,63.3,52.3,74.4
200711,45.6,36.0,55.0
200712,38.1,30.4,45.8
200801,35.7,26.7,44.6
200802,37.2,27.2,47.2
200803,44.8,33.8,55.7
200804,55.6,44.9,66.4
200805,60.4,48.8,71.9
200806,74.3,63.0,85.6
200807,76.2,65.6,86.8
200808,72.6,61.6,83.6
200809,68.8,58.8,78.8
200810,55.2,43.8,66.5
200811,44.4,35.9,52.8
200812,38.6,29.3,47.8
200901,29.3,21.2,37.4
200902,37.2,26.6,47.7
200903,43.1,32.9,53.3
200904,54.8,43.3,66.2
200905,63.4,53.3,73.4
200906,71.0,61.4,80.5
200907,73.5,63.2,83.8
200908,76.2,66.6,85.9
200909,66.4,57.3,75.5
200910,55.4,45.8,65.0
200911,49.6,41.0,58.1
200912,35.4,27.3,43.4
201001,32.2,24.3,40.2
201002,30.8,23.4,38.2
201003,47.4,37.4,57.4
201004,57.5,45.0,70.0
201005,65.7,54.8,76.6
201006,76.2,65.6,86.8
201007,79.1,67.8,90.5
201008,76.4,66.3,86.4
201009,70.2,58.5,81.9
201010,57.8,47.3,68.3
201011,46.1,35.9,56.4
201012,30.8,23.6,38.1
201101,29.6,22.0,37.2
201102,37.6,27.0,48.2
201103,43.7,33.6,53.7
201104,56.7,46.3,67.0
201105,65.8,55.4,76.2
201106,74.0,63.2,84.8
201107,79.6,68.5,90.6
201108,75.1,64.9,85.3
201109,69.0,61.0,77.0
201110,55.9,46.1,65.7
201111,49.5,38.8,60.2
201112,41.8,32.2,51.3
201201,37.4,27.8,47.1
201202,40.5,30.7,50.2
201203,52.7,41.4,64.0
201204,54.2,42.4,66.0
201205,67.7,57.3,78.0
201206,71.7,60.3,83.1
201207,79.8,69.4,90.1
201208,75.8,66.1,85.5
201209,67.8,57.0,78.5
201210,57.5,47.8,67.2
201211,42.6,33.4,51.8
201212,42.2,33.9,50.5
201301,36.3,27.9,44.7
201302,34.5,26.5,42.6
201303,39.7,31.1,48.3
201304,54.4,43.0,65.8
201305,62.8,52.2,73.5
201306,72.7,63.0,82.4
201307,77.8,69.0,86.5
201308,72.4,63.2,81.6
201309,66.0,54.5,77.4
201310,58.1,48.3,68.0
201311,43.3,33.5,53.0
201312,38.6,29.9,47.3
201401,27.7,17.5,38.0
201402,32.8,23.6,42.0
201403,38.2,27.5,48.9
201404,52.7,41.2,64.2
201405,64.2,53.0,75.4
201406,72.3,62.0,82.6
201407,74.7,64.6,84.8
201408,71.7,61.6,81.9
201409,68.0,58.0,78.1
201410,58.2,48.5,68.0
201411,42.7,33.2,52.2
201412,39.6,32.0,47.2
201501,30.7,22.6,38.8
201502,25.3,15.3,35.4
201503,39.4,28.5,50.2
201504,54.0,42.5,65.6
201505,67.6,56.3,78.9
201506,73.0,64.0,82.1
201507,75.9,66.5,85.2
201508,73.9,63.1,84.7
201509,70.8,60.7,81.0
201510,55.6,45.1,66.1
201511,50.5,40.2,60.9
201512,48.6,40.0,57.3
201601,32.1,22.5,41.6
201602,36.9,27.9,45.9
201603,49.4,38.3,60.4
201604,53.1,41.1,65.0
201605,60.9,52.0,69.9
201606,72.2,61.9,82.6
201607,78.4,68.5,88.1
201608,78.0,68.0,88.1
201609,71.5,62.0,81.0
201610,59.4,49.0,69.7
201611,47.7,36.4,59.0
201612,38.0,29.5,46.6
201701,38.3,31.3,45.2
201702,43.7,32.6,54.8
201703,43.1,32.9,53.3
201704,59.5,48.8,70.2
201705,62.2,52.6,71.7
201706,72.6,61.9,83.4
201707,77.4,67.9,87.0
201708,72.8,63.4,82.3
201709,68.3,58.4,78.1
201710,61.2,50.7,71.8
201711,45.8,35.7,55.8
201712,35.3,26.6,43.9
201801,31.0,21.2,40.8
201802,41.6,32.4,50.8
201803,39.3,30.3,48.2
201804,50.7,40.0,61.4
201805,68.8,58.2,79.3
201806,72.1,62.6,81.5
201807,76.2,66.3,86.2
201808,77.1,68.0,86.2
201809,72.7,65.6,79.8
201810,59.0,49.9,68.0
201811,43.4,35.7,51.2
201812,39.2,31.0,47.5
201901,34.0,25.4,42.6
201902,37.6,28.6,46.6
201903,42.1,32.2,52.0
201904,57.8,46.9,68.6
201905,67.3,57.3,77.2
201906,72.5,62.4,82.7
201907,78.6,68.1,89.1
201908,75.6,65.5,85.8
201909,71.4,60.1,82.7
201910,60.3,50.7,69.9
201911,42.6,32.7,52.5
201912,38.9,30.3,47.5
202001,39.1,30.7,47.6
202002,41.0,31.8,50.2
202003,49.3,39.3,59.2
202004,51.6,41.4,61.9
202005,60.5,50.8,70.3
202006,72.7,62.2,83.1
202007,80.1,69.6,90.5
202008,76.6,67.8,85.5
202009,67.3,57.8,76.8
202010,59.0,49.0,68.9
202011,50.9,40.0,61.9
202012,38.3,29.9,46.7
202101,35.4,27.9,42.9
202102,34.2,27.3,41.2
202103,47.2,35.9,58.6
202104,55.0,43.4,66.5
202105,62.2,50.4,74.1
202106,73.1,62.9,83.2
202107,77.2,67.1,87.4
202108,77.1,67.8,86.5
202109,69.6,59.4,79.8
202110,62.9,53.8,72.0
202111,44.4,33.8,55.0
202112,43.8,34.0,53.5
202201,30.9,22.0,39.8
202202,38.4,27.1,49.7
202203,46.7,35.5,57.8
202204,53.1,42.1,64.1
202205,64.6,54.7,74.6
202206,72.1,61.2,83.0
202207,77.7,68.0,87.5
202208,76.7,66.4,86.9
202209,68.5,58.2,78.8
202210,54.6,44.2,65.0
202211,48.8,38.4,59.1
202212,36.5,26.8,46.3
202301,42.0,33.6,50.4
202302,42.8,32.2,53.4
202303,45.0,34.4,55.6
202304,58.0,45.6,70.5
202305,60.9,49.3,72.5
202306,69.2,58.2,80.2
202307,78.2,68.3,88.0
202308,75.0,65.4,84.7
202309,69.4,59.6,79.2
202310,59.4,48.4,70.4
202311,45.3,34.0,56.5
202312,42.4,33.6,51.2
202401,36.6,28.5,44.6
202402,40.2,30.1,50.3
202403,48.1,37.6,58.6
202404,56.5,45.9,67.0
202405,65.8,56.2,75.4
202406,74.7,63.3,86.0
202407,79.0,69.0,89.1
202408,75.1,64.8,85.4
202409,68.4,59.3,77.6
202410,58.3,45.4,71.3
202411,50.2,39.5,60.8
