Entity,Year,emissions_including_land-use_change,emissions_from_land-use_change,Annual_emissions,continent
afghanistan,1949,6267968.0,6253312.0,14656.0,Asia
afghanistan,1950,7370429.0,7286157.0,84272.0,Asia
afghanistan,1951,8231908.5,8140308.5,91600.0,Asia
afghanistan,1952,9182680.0,9091080.0,91600.0,Asia
afghanistan,1953,10255829.0,10149573.0,106256.0,Asia
afghanistan,1954,11096534.0,10990278.0,106256.0,Asia
afghanistan,1955,12208961.0,12055073.0,153888.0,Asia
afghanistan,1956,13128808.0,12945608.0,183200.0,Asia
afghanistan,1957,14211557.0,13918437.0,293120.0,Asia
afghanistan,1958,15265762.0,14936002.0,329760.0,Asia
afghanistan,1959,15956277.0,15571706.0,384571.0,Asia
afghanistan,1960,17811288.0,17397404.0,413885.0,Asia
afghanistan,1961,15767625.0,15276827.0,490798.0,Asia
afghanistan,1962,14305337.0,13616743.0,688594.0,Asia
afghanistan,1963,14079347.0,13372611.0,706736.0,Asia
afghanistan,1964,11096981.0,10258430.0,838551.0,Asia
afghanistan,1965,11191262.0,10184345.0,1006917.0,Asia
afghanistan,1966,12279183.0,11188024.0,1091159.0,Asia
afghanistan,1967,9786339.0,8504474.0,1281865.0,Asia
afghanistan,1968,8841360.0,7617969.0,1223391.0,Asia
afghanistan,1969,7726886.5,6785654.5,941232.0,Asia
afghanistan,1970,8534242.0,6863844.5,1670397.0,Asia
afghanistan,1971,7833118.0,5939564.0,1893554.0,Asia
afghanistan,1972,6959662.0,5429315.0,1530347.0,Asia
afghanistan,1973,6195448.5,4559994.5,1635454.0,Asia
afghanistan,1974,6027018.0,4113865.8,1913152.0,Asia
afghanistan,1975,5875810.5,3754427.5,2121383.0,Asia
afghanistan,1976,5485658.0,3504799.2,1980859.0,Asia
afghanistan,1977,5548002.0,3163827.2,2384175.0,Asia
afghanistan,1978,4916652.0,2763352.2,2153300.0,Asia
afghanistan,1979,5102435.0,2869681.2,2232754.0,Asia
afghanistan,1980,4436848.0,2680545.8,1756302.0,Asia
afghanistan,1981,4761307.5,2782844.5,1978463.0,Asia
afghanistan,1982,4340906.0,2246325.2,2094580.9,Asia
afghanistan,1983,4707325.0,2187371.2,2519954.0,Asia
afghanistan,1984,4731437.0,1909896.8,2821540.0,Asia
afghanistan,1985,5123694.5,1622272.6,3501422.0,Asia
afghanistan,1986,4449461.0,1315815.8,3133645.0,Asia
afghanistan,1987,4175140.2,1061314.2,3113826.0,Asia
afghanistan,1988,3895456.8,1038560.8,2856896.0,Asia
afghanistan,1989,3707895.5,943040.4,2764855.0,Asia
afghanistan,1990,2213168.8,188842.55,2024326.1,Asia
afghanistan,1991,1937604.0,23303.04,1914301.0,Asia
afghanistan,1997,5116178.0,3812025.8,1304152.0,Asia
afghanistan,2001,1372477.2,303379.22,1069098.0,Asia
afghanistan,2002,8913347.0,7572352.0,1340995.0,Asia
afghanistan,2003,5332166.0,3772564.0,1559602.0,Asia
afghanistan,2004,3404722.8,2167475.8,1237247.0,Asia
afghanistan,2005,3055172.0,1165665.0,1889507.0,Asia
afghanistan,2006,3144970.8,985652.7,2159318.0,Asia
afghanistan,2007,3520251.5,720342.44,2799909.0,Asia
afghanistan,2008,4871238.0,616761.1,4254477.0,Asia
afghanistan,2009,6896970.5,505082.4,6391888.0,Asia
afghanistan,2010,8538404.0,173600.33,8364803.5,Asia
afghanistan,2011,11971356.0,133039.83,11838316.0,Asia
