Country,Year,Emission,Population,Population_Emission,Region
afghanistan,2017,0.2768525,38928346.0,10777409.910965,Asia
afghanistan,2018,0.29487586,38928346.0,11479029.50512756,Asia
afghanistan,2019,0.29340136,38928346.0,11421629.65895056,Asia
afghanistan,2020,0.30503938,38928346.0,11874678.528265482,Asia
afghanistan,2021,0.30631703,38928346.0,11924415.32953238,Asia
afghanistan,2022,0.29536375,38928346.0,11498022.2558575,Asia
albania,2017,1.8382717,2877797.0,5290172.7834449,Europe
albania,2018,1.7013975,2877797.0,4896276.6213075,Europe
albania,2019,1.6795896,2877797.0,4833517.912111199,Europe
albania,2020,1.7506745,2877797.0,5038085.8240765,Europe
albania,2021,1.7177409,2877797.0,4943309.6087973,Europe
albania,2022,1.7432004,2877797.0,5016576.8815188,Europe
algeria,2017,4.01321,43851044.0,175983448.29124,Africa
algeria,2018,4.0850997,43851044.0,179135886.6890868,Africa
algeria,2019,4.18161,43851044.0,183367964.10084,Africa
algeria,2020,3.9099252,43851044.0,171454301.9819088,Africa
algeria,2021,4.079527,43851044.0,178891517.97618797,Africa
algeria,2022,3.9272263,43851044.0,172212973.2792572,Africa
andorra,2017,6.3007326,77265.0,486826.104339,Europe
andorra,2018,6.5922117,77265.0,509347.2370005,Europe
andorra,2019,6.3337045,77265.0,489373.67819249997,Europe
andorra,2020,4.8084607,77265.0,371525.7159855,Europe
andorra,2021,4.5922055,77265.0,354816.75795750006,Europe
andorra,2022,4.6171236,77265.0,356742.054954,Europe
angola,2017,0.7486942,32866272.0,24606787.2220224,Africa
angola,2018,0.6853864,32866272.0,22526095.847500797,Africa
angola,2019,0.59412795,32866272.0,19526770.8075024,Africa
angola,2020,0.50151193,32866272.0,16482827.502624962,Africa
angola,2021,0.50735646,32866272.0,16674915.41531712,Africa
angola,2022,0.45155162,32866272.0,14840818.364960639,Africa
anguilla,2017,8.526596,15003.0,127924.51978799999,North America
anguilla,2018,8.677324,15003.0,130185.89197200001,North America
anguilla,2019,9.511942,15003.0,142707.66582599998,North America
anguilla,2020,9.152959,15003.0,137321.84387699998,North America
anguilla,2021,8.726662,15003.0,130926.109986,North America
anguilla,2022,8.752724,15003.0,131317.11817200002,North America
antigua and barbuda,2017,6.633821,97929.0,649643.456709,North America
antigua and barbuda,2018,6.7167735,97929.0,657766.9120815,North America
antigua and barbuda,2019,6.9599576,97929.0,681581.6878104,North America
antigua and barbuda,2020,6.6818023,97929.0,654342.2174367,North America
antigua and barbuda,2021,6.400294,97929.0,626774.391126,North America
antigua and barbuda,2022,6.4218745,97929.0,628887.7479105,North America
argentina,2017,4.242436,45195774.0,191740178.66546398,South America
argentina,2018,4.066307,45195774.0,183779892.186618,South America
argentina,2019,3.9894862,45195774.0,180307916.6713188,South America
argentina,2020,3.7054682,45195774.0,167471503.3313868,South America
argentina,2021,4.1907597,45195774.0,189404628.2895078,South America
argentina,2022,4.2378173,45195774.0,191531432.9440902,South America
armenia,2017,1.9425985,2963243.0,5756391.4069355,Asia
armenia,2018,2.0538187,2963243.0,6085963.8860441,Asia
armenia,2019,2.2279305,2963243.0,6601899.4586114995,Asia
