Country,Year,Emission,Population,Population_Emission,Region
others,2017,359.23579337,4748038454.0,21819097782.425655,Asia
china,2017,7.098718,1439323776.0,10217353596.519167,Asia
india,2017,1.7919174,1380004385.0,2472853869.557799,Asia
russia,2017,11.454741,145912025.0,1671384455.160525,Asia
japan,2017,9.369802,126476461.0,1185059397.230722,Asia
saudi arabia,2017,19.912016,34813871.0,693214356.373936,Asia
others,2018,359.7968213,4748038454.0,22348034212.351036,Asia
china,2018,7.306582,1439323776.0,10516537193.893631,Asia
india,2018,1.8941209,1380004385.0,2613895147.7201467,Asia
russia,2018,11.757415,145912025.0,1715548231.415375,Asia
japan,2018,9.042501,126476461.0,1143663525.068961,Asia
iran,2018,8.2952,83992949.0,696738310.5447999,Asia
others,2019,362.65925649999997,4748038454.0,22673431137.66916,Asia
china,2019,7.5401316,1439323776.0,10852690686.048922,Asia
india,2019,1.8891369,1380004385.0,2607017205.8653064,Asia
russia,2019,11.698944,145912025.0,1707016609.4016,Asia
japan,2019,8.780706,126476461.0,1110552619.961466,Asia
saudi arabia,2019,19.737017,34813871.0,687121963.762807,Asia
others,2020,351.46693237,4748038454.0,22188276466.727554,Asia
china,2020,7.659333,1439323776.0,11024260095.201408,Asia
india,2020,1.7341554,1380004385.0,2393142056.271429,Asia
russia,2020,11.21384,145912025.0,1636234102.4259999,Asia
japan,2020,8.302111,126476461.0,1050021618.109171,Asia
iran,2020,7.7787347,83992949.0,653358866.9416304,Asia
others,2021,366.30051623,4748038454.0,23134842991.36525,Asia
china,2021,7.9502664,1439323776.0,11443007455.053926,Asia
india,2021,1.8998938,1380004385.0,2621861775.034313,Asia
russia,2021,11.79849,145912025.0,1721541567.8422499,Asia
japan,2021,8.523455,126476461.0,1078016423.892755,Asia
iran,2021,7.825858,83992949.0,657316891.875242,Asia
others,2022,363.1269196,4748038454.0,23344718313.50305,Asia
china,2022,7.992761,1439323776.0,11504170943.185535,Asia
india,2022,1.9966822,1380004385.0,2755430191.451447,Asia
russia,2022,11.416899,145912025.0,1665862852.310475,Asia
japan,2022,8.501681,126476461.0,1075262525.4309409,Asia
indonesia,2022,2.6456614,273523615.0,723650870.1939609,Asia
others,2017,231.71212852,588217280.0,6480476944.055647,North America
united states,2017,15.804429,331002651.0,5231307896.541279,North America
canada,2017,15.50163,37742154.0,585064906.71102,North America
mexico,2017,3.7904897,128932753.0,488718272.23914415,North America
trinidad and tobago,2017,27.267317,1399488.0,38160282.933695994,North America
cuba,2017,2.200658,11326616.0,24926008.113328,North America
others,2018,225.1402051,588217280.0,6609960476.771851,North America
united states,2018,16.191355,331002651.0,5359381428.282105,North America
canada,2018,15.581538,37742154.0,588080806.752852,North America
